id,question,rating_raw,respT,type,isTrue,correct,confidence
6,UoE_1_2,6,0,science,0,1,3
6,UoE_1_3,4,0,science,0,1,1
6,UoE_1_4,5,0,science,0,1,2
6,UoE_1_5,3,1,science,0,0,1
6,UoE_1_6,6,0,science,0,1,3
6,UoE_1_7,2,1,science,1,1,2
6,UoE_1_8,6,0,science,1,0,3
6,UoE_1_9,1,1,science,1,1,3
6,UoE_1_10,1,1,science,1,1,3
6,UoE_1_11,3,1,science,1,1,1
6,UoE_1_12,3,1,science,1,1,1
6,UoE_1_13,2,1,science,1,1,2
6,UoE_1_14,4,0,science,0,1,1
6,UoE_1_15,2,1,covid,0,0,2
6,UoE_1_16,6,0,covid,0,1,3
6,UoE_1_17,6,0,covid,0,1,3
6,UoE_1_18,6,0,covid,0,1,3
6,UoE_1_19,5,0,covid,0,1,2
6,UoE_1_20,6,0,covid,0,1,3
6,UoE_1_21,1,1,covid,1,1,3
6,UoE_1_22,1,1,covid,1,1,3
6,UoE_1_23,1,1,covid,1,1,3
6,UoE_1_24,5,0,covid,1,0,2
6,UoE_1_25,6,0,covid,0,1,3
6,UoE_1_26,1,1,covid,1,1,3
6,UoE_1_27,1,1,covid,1,1,3
6,UoE_1_28,2,1,covid,1,1,2
7,UoE_1_1,5,0,science,0,1,2
7,UoE_1_2,6,0,science,0,1,3
7,UoE_1_3,6,0,science,0,1,3
7,UoE_1_4,2,1,science,0,0,2
7,UoE_1_5,5,0,science,0,1,2
7,UoE_1_6,3,1,science,0,0,1
7,UoE_1_7,5,0,science,1,0,2
7,UoE_1_8,5,0,science,1,0,2
7,UoE_1_9,1,1,science,1,1,3
7,UoE_1_10,3,1,science,1,1,1
7,UoE_1_11,6,0,science,1,0,3
7,UoE_1_12,4,0,science,1,0,1
7,UoE_1_13,2,1,science,1,1,2
7,UoE_1_14,4,0,science,0,1,1
7,UoE_1_15,5,0,covid,0,1,2
7,UoE_1_16,5,0,covid,0,1,2
7,UoE_1_17,6,0,covid,0,1,3
7,UoE_1_18,5,0,covid,0,1,2
7,UoE_1_19,6,0,covid,0,1,3
7,UoE_1_20,5,0,covid,0,1,2
7,UoE_1_21,2,1,covid,1,1,2
7,UoE_1_22,2,1,covid,1,1,2
7,UoE_1_23,3,1,covid,1,1,1
7,UoE_1_24,2,1,covid,1,1,2
7,UoE_1_25,3,1,covid,0,0,1
7,UoE_1_26,2,1,covid,1,1,2
7,UoE_1_27,2,1,covid,1,1,2
7,UoE_1_28,3,1,covid,1,1,1
8,UoE_1_1,6,0,science,0,1,3
8,UoE_1_2,6,0,science,0,1,3
8,UoE_1_3,6,0,science,0,1,3
8,UoE_1_4,6,0,science,0,1,3
8,UoE_1_5,1,1,science,0,0,3
8,UoE_1_6,6,0,science,0,1,3
8,UoE_1_7,1,1,science,1,1,3
8,UoE_1_8,2,1,science,1,1,2
8,UoE_1_9,1,1,science,1,1,3
8,UoE_1_10,1,1,science,1,1,3
8,UoE_1_11,1,1,science,1,1,3
8,UoE_1_12,1,1,science,1,1,3
8,UoE_1_13,1,1,science,1,1,3
8,UoE_1_14,3,1,science,0,0,1
8,UoE_1_15,5,0,covid,0,1,2
8,UoE_1_16,6,0,covid,0,1,3
8,UoE_1_17,6,0,covid,0,1,3
8,UoE_1_18,6,0,covid,0,1,3
8,UoE_1_19,6,0,covid,0,1,3
8,UoE_1_20,6,0,covid,0,1,3
8,UoE_1_21,1,1,covid,1,1,3
8,UoE_1_22,2,1,covid,1,1,2
8,UoE_1_23,4,0,covid,1,0,1
8,UoE_1_24,1,1,covid,1,1,3
8,UoE_1_25,6,0,covid,0,1,3
8,UoE_1_26,3,1,covid,1,1,1
8,UoE_1_27,1,1,covid,1,1,3
8,UoE_1_28,2,1,covid,1,1,2
9,UoE_1_1,6,0,science,0,1,3
9,UoE_1_2,6,0,science,0,1,3
9,UoE_1_3,6,0,science,0,1,3
9,UoE_1_4,1,1,science,0,0,3
9,UoE_1_5,6,0,science,0,1,3
9,UoE_1_6,6,0,science,0,1,3
9,UoE_1_7,1,1,science,1,1,3
9,UoE_1_8,6,0,science,1,0,3
9,UoE_1_9,1,1,science,1,1,3
9,UoE_1_10,1,1,science,1,1,3
9,UoE_1_11,6,0,science,1,0,3
9,UoE_1_12,1,1,science,1,1,3
9,UoE_1_13,6,0,science,1,0,3
9,UoE_1_14,6,0,science,0,1,3
9,UoE_1_15,1,1,covid,0,0,3
9,UoE_1_16,1,1,covid,0,0,3
9,UoE_1_17,1,1,covid,0,0,3
9,UoE_1_18,6,0,covid,0,1,3
9,UoE_1_19,1,1,covid,0,0,3
9,UoE_1_20,3,1,covid,0,0,1
9,UoE_1_21,1,1,covid,1,1,3
9,UoE_1_22,1,1,covid,1,1,3
9,UoE_1_23,3,1,covid,1,1,1
9,UoE_1_24,6,0,covid,1,0,3
9,UoE_1_25,3,1,covid,0,0,1
9,UoE_1_26,1,1,covid,1,1,3
9,UoE_1_27,1,1,covid,1,1,3
9,UoE_1_28,1,1,covid,1,1,3
10,UoE_1_1,5,0,science,0,1,2
10,UoE_1_2,4,0,science,0,1,1
10,UoE_1_3,3,1,science,0,0,1
10,UoE_1_4,4,0,science,0,1,1
10,UoE_1_5,3,1,science,0,0,1
10,UoE_1_6,3,1,science,0,0,1
10,UoE_1_7,2,1,science,1,1,2
10,UoE_1_8,4,0,science,1,0,1
10,UoE_1_9,3,1,science,1,1,1
10,UoE_1_10,3,1,science,1,1,1
10,UoE_1_11,3,1,science,1,1,1
10,UoE_1_12,4,0,science,1,0,1
10,UoE_1_13,3,1,science,1,1,1
10,UoE_1_14,5,0,science,0,1,2
10,UoE_1_15,4,0,covid,0,1,1
